Id,SalePrice
1461,132016.3867
1462,157000.7133
1463,176239.1333
1464,183039.85
1465,206239.5767
1466,184157.8
1467,161075.4233
1468,172566.7733
1469,188925.4967
1470,123677.11
1471,202660.7733
1472,90815.33333
1473,95425.89667
1474,151585.61
1475,146112.8333
1476,344907.7533
1477,259343.01
1478,304690.2367
1479,255880.96
1480,460381.6067
1481,292844.3867
1482,205519.3367
1483,165554.2
1484,171118.0667
1485,172454.6367
1486,203415.1967
1487,314453.29
1488,249983.2933
1489,200856.6767
1490,178241.8733
1491,186106.5567
1492,100072.1367
1493,166343.5067
1494,288368.7967
1495,297606.2633
1496,231198.6733
1497,185430.08
1498,155601.1767
1499,154910.5767
1500,159359.5233
1501,174221.5767
1502,155433.4433
1503,280124.4767
1504,229779.2467
1505,212394.3733
1506,183309.2
1507,219204.9
1508,213014.1933
1509,167752.6667
1510,144799.5033
1511,152046.0267
1512,161469.2933
1513,157959.97
1514,172951.03
1515,172290.5733
1516,171125.0533
1517,146562.1667
1518,133799.11
1519,223430.2533
1520,138205.25
1521,142026.93
1522,165461.2333
1523,115260.9733
1524,129498.76
1525,132690.5
1526,134878.8333
1527,90136.97333
1528,123411.18
1529,136604.5
1530,163010.9167
1531,123155.3067
1532,103920.2767
1533,138353.4667
1534,117802.3133
1535,154947.6133
1536,114760.28
1537,79429.30667
1538,186766.6667
1539,251123.31
1540,138969.2933
1541,153560.1367
1542,146458.52
1543,222844.0033
1544,80334.18667
1545,99489.91333
1546,116688.51
1547,130645.0333
1548,135340.1767
1549,102383.98
1550,139667.7833
1551,118461.4167
1552,128805.3633
1553,151328.67
1554,105774.59
1555,189379.5133
1556,109420.3733
1557,131781.1667
1558,96171.71
1559,128101.6733
1560,146156.5167
1561,169747.73
1562,120607.6567
1563,123679.1033
1564,153186.3567
1565,141072.4367
1566,201157.6533
1567,81069.99333
1568,228078.85
1569,156270.98
1570,108267.41
1571,123860.99
1572,134336.1433
1573,248675.9767
1574,135054.2333
1575,212025.8967
1576,209761.8033
1577,196435.6267
1578,147993.92
1579,141434.3333
1580,193861.23
1581,139739.6133
1582,126095.55
1583,326771.0767
1584,230741.8467
1585,141618.1389
1586,64524.95667
1587,96319.59667
1588,146530.3667
1589,106515.6633
1590,135338.7467
1591,102318.2267
1592,122718.4067
1593,122507.8867
1594,146802.1567
1595,140992.4
1596,240968.1033
1597,182920.62
1598,188611.2167
1599,195109.1267
1600,187481.07
1601,56270.96
1602,111889.51
1603,90870.67667
1604,306603.7667
1605,258497.15
1606,169256.7133
1607,194385.2667
1608,203043.09
